Nombre,Energia,Proteina,Carbohidratos,Azucares,Lipidos,Sodio,Unidad,Grupo,Peso Neto,,
Zanahoria rallada cruda,23,0.5,4.1,0,0.1,0,1,1,55,,
Agua de coco,65,1.1,16.9,0,0.7,0,1,1,360,,
Anona,59,1,14.7,0,0.4,0,1,1,59,,
Arándano fresco,56,0.5,14.9,4.9,0.2,0,1,1,123,,
Aricóte,59,1.1,15,0,0.1,0,1,1,90,,
Blueberries,61,0.7,15.4,10.6,0.4,0,1,1,107,,
Breba,63,1,16.1,0,0.2,0,1,1,192,,
Caimito blanco o morado,68,1.7,12.2,0,2.2,0,1,1,130,,
Calabaza melón,58,2.8,11.2,0,0.9,0,1,1,98,,
Caña de azúcar,64,0.5,17.2,0,0.5,0,1,1,100,,
Capulín,63,1.4,16.1,0,0,0,1,1,96,,
Carambolo,53,1.8,11.5,6.8,0.6,0,1,1,171,,
Cereza,56,0.9,14.7,11.3,0.2,0,1,1,88,,
Chabacano,61,1.8,14,11.6,0.5,0,1,1,126,,
Chagua,114,15.8,14,0,1.3,0,1,1,150,,
Chicozapote,62,0.3,14.9,0,0.8,0,1,1,75,,
Chirimoya,53,0.7,13.4,0,0.2,0,1,1,56,,
Ciruela criolla roja o amarilla,73,1.1,18.1,0,0.4,0,1,1,158,,
Ciruela pasa deshuesada,60,0.5,15.7,14,0.1,0,1,1,56,,
Cocoyol,66,2.2,8.4,0,3.3,0,1,1,38,,
Coloc,61,1.1,15.4,0,0.3,0,1,1,60,,
Cundeamor,32,3.9,15.9,0,0.7,0,1,1,450,,
Dátil seco,46,0.3,12.4,11,0,0,1,1,17,,
Durazno amarillo,60,1.4,14.6,12.8,0.2,0,1,1,153,,
Durazno prisco,51,1.2,12.5,11.1,0.1,0,1,1,132,,
Frambuesa,64,1.5,14.7,5.4,0.8,0,1,1,123,,
Fresa entera,65,1.4,15.7,10,0.6,0,1,1,204,,
Fresa rebanada,53,1.1,12.7,8.1,0.5,0,1,1,166,,
Fruta de la pasión,56,1.3,13.5,6.5,0.4,0,1,1,58,,
Fruta picada,59,0.7,14.7,7.7,0.3,0,1,1,140,,
Fruto del pan,60,1,14.9,0,0.4,0,1,1,74,,
Gajos de mandarina,56,0.9,14,11.1,0.3,0,1,1,105,,
Gajos de naranja,53,1,13.3,10.5,0.1,0,1,1,113,,
Gajos de toronja,50,0.8,12.6,11,0.2,0,1,1,150,,
Giotilla,66,2.3,13.9,0,1,0,1,1,130,,
Granada china,65,1.5,15.7,0,0.5,0,1,1,67,,
Granada roja,44,0.9,15.5,0,0.3,0,1,1,87,,
Guanábana,90,1,15.5,0,3.8,0,1,1,238,,
Guanábana cimarrona,90,1,15.5,0,3.8,0,1,1,238,,
Guayaba,63,1,14.8,0,0.7,0,1,1,124,,
Guayaba rosa,52,2,11,6.8,0.7,0,1,1,77,,
Higo,53,0.6,13.8,11.7,0.1,0,1,1,72,,
Higo deshidratado,47,0.6,11.9,9,0.2,0,1,1,19,,
Jinicuil,73,6,13.5,0,0.5,0,1,1,50,,
Jugo de limón,45,0.7,15.6,4.3,0,0,1,1,180,,
Jugo de mandarina natural,46,0.8,11.3,9.9,0,0,1,1,120,,
Jugo de mango,61,0.1,15.7,14.9,0.1,0,1,1,120,,
Jugo de naranja natural,54,0.8,12.5,10.1,0.2,0,1,1,120,,
Jugo de papaya,45,0.1,11.5,11,0.1,0,1,1,79,,
Jugo de toronja natural,47,0.6,11,10.1,0.1,0,1,1,120,,
Jugo ele mamey,52,0.6,12.5,0,0.1,0,1,1,80,,
Kiwi,69,1.2,16.6,10.2,0.6,0,1,1,114,,
Lichis,59,0.7,14.9,13.7,0.3,0,1,1,90,,
Lima,44,1,15.5,2.5,0.3,0,1,1,147,,
Limón real,31,1.8,16.4,0,0.5,0,1,1,153,,
Mamey,58,1.4,13.7,0,0.5,0,1,1,85,,
Manche agrio,66,1.3,13.9,0,1.6,0,1,1,122,,
Mandarina,68,1,17,13.5,0.4,0,1,1,128,,
Mandarina reyna,75,1.2,18.9,15,0.4,0,1,1,142,,
Mango ataulfo,40,0.3,10.5,0,0.2,0,1,1,62,,
Mango criollo,57,1.3,14.6,0,0,0,1,1,162,,
Mango en almíbar enlatado,56,0.3,15,0,0.1,0,1,1,61,,
Mango manila,62,1.2,16.1,0,0,0,1,1,145,,
Mango petacón,72,0.6,12.9,0,0.3,0,1,1,110,,
Mango picado,58,1.3,14.9,0,0,0,1,1,165,,
Manzana,55,0.3,14.7,11,0.2,0,1,1,106,,
Manzana al vapor,44,0.2,11.7,8.9,0.1,0,1,1,86,,
Manzana amarilla,65,0.3,16.5,10.4,0.3,0,1,1,100,,
Manzana cocida,44,0.2,11.7,8.9,0.1,0,1,1,86,,
Manzana deshidratada,55,0.2,15,13,0.1,0,1,1,23,,
Manzana en almíbar,54,0,15.7,13.6,0,0,1,1,24,,
Manzana en almíbar enlatada,54,0,15.7,13.6,0,0,1,1,24,,
Manzana goiden,65,0.3,16.5,13.3,0.3,0,1,1,100,,
Manzana granny,42,0.2,10.8,9.5,0.3,0,1,1,71,,
Manzana picada,44,0.2,11.4,10,0.3,0,1,1,75,,
Manzana roja,63,0.2,16.3,14.2,0.4,0,1,1,107,,
Manzana sin cáscara,73,0.2,19,12.9,0.4,0,1,1,128,,
Manzana verde,42,0.2,10.8,9.5,0.3,0,1,1,71,,
Manzana Washington,42,0.2,10.8,9.5,0.3,0,1,1,71,,
Maracuyá,51,1.2,12.3,5.9,0.4,0,1,1,53,,
Maracuyá rebanado,66,1.5,16,7.7,0.5,0,1,1,69,,
Marañón fresco,62,1.5,14.4,0,0.5,0,1,1,171,,
Melón,61,1.5,14.6,14.1,0.3,0,1,1,179,,
Melón cantaloupe,61,1.5,14.6,14.1,0.3,0,1,1,179,,
Melón chino,52,0.8,13.1,11.7,0.2,0,1,1,144,,
Melón picado,54,1.3,13.1,12.6,0.3,0,1,1,160,,
Melón valenciano,61,1.5,14.6,14.1,0.3,0,1,1,179,,
Melón valenciano picado,54,1.3,13.1,12.6,0.3,0,1,1,160,,
Melón verde picado,58,0.9,14.5,13,0.2,0,1,1,160,,
Membrillo,56,0.4,15,0,0.1,0,1,1,98,,
Moras,67,2.2,14.9,7.6,0.6,0,1,1,108,,
Naranja,72,1.4,18,14.3,0.2,0,1,1,152,,
Naranja agria,73,1.9,14.9,11.8,0.8,0,1,1,126,,
Naranja cajera,69,1.4,16.4,13,1,0,1,1,139,,
Naranja china,48,2.1,15.2,12,0.4,0,1,1,129,,
Naranja sin semilla,72,1.1,18.3,14.5,0.6,0,1,1,155,,
Naranja valenciana,79,1.7,19.1,15.2,0.5,0,1,1,162,,
Naranjada concentrada,57,1,13.2,0,0.2,0,1,1,130,,
Nectarina,54,1.3,13.1,9.8,0.4,0,1,1,124,,
Níspero,59,0.1,13.3,0,1.2,0,1,1,140,,
Níspero del Japón,52,0.4,13.4,0,0.2,0,1,1,108,,
Orejones de chabacano,59,0.8,15.3,13.1,0.1,0,1,1,25,,
Orejones de durazno,62,0.9,15.9,10.9,0.2,0,1,1,26,,
Orejones de manzana,55,0.2,14.8,12.9,0.1,0,1,1,23,,
Orejones de pera,47,0.3,12.5,11.2,0.1,0,1,1,18,,
Papaya hawaiana,45,0.7,11.2,0,0.2,0,1,1,114,,
Papaya picada,55,0.8,13.7,0,0.1,0,1,1,140,,
Papilla de chabacano con tapioca,61,0.3,16.9,1.4,0,0,1,1,98,,
Papilla de ciruela pasa con tapioca,68,0.6,18.2,10.7,0.1,0,1,1,98,,
Papilla de durazno,63,0.9,14.1,11.2,0.3,0,1,1,98,,
Papilla de frutas mixtas,59,0.2,16,0,0,0,1,1,98,,
Papilla de guayaba y papaya con tapioca,61,0.2,16.6,0,0.1,0,1,1,98,,
Papilla de mango con tapioca,59,0.3,16.1,11,0.2,0,1,1,85,,
Papilla de manzana,61,0.3,16.6,0,0,0,1,1,85,,
Papilla de manzana y chabacano,61,0.3,16.1,11.3,0.3,0,1,1,130,,
Papilla de pera,56,0.3,13.3,8.4,0.1,0,1,1,98,,
Papilla de pera y pina,57,0.4,14.8,9.6,0.3,0,1,1,130,,
Papilla de plátano y piña con tapioca,66,0.2,17.9,8.2,0.1,0,1,1,98,,
Pasas,59,0.5,15.7,0,0.1,0,1,1,20,,
Pasitas,59,0.5,15.7,0,0.1,0,1,1,20,,
Pasitas sin semilla,60,0.6,15.8,11.8,0.1,0,1,1,20,,
Pera,47,0.3,12.5,7.9,0.1,0,1,1,81,,
Pera asiática,49,0.6,12.4,8.2,0.3,0,1,1,117,,
Pera bartlett,45,0.3,12,7.6,0.1,0,1,1,77,,
Pera d'anjou,47,0.3,12.5,7.9,0.1,0,1,1,81,,
Pera de agua,43,0.3,11.4,7.2,0.1,0,1,1,74,,
Pera de San Juan,61,0.4,16.3,10.3,0.1,0,1,1,105,,
Pera deshidratada,46,0.3,12.2,0,0.1,0,1,1,18,,
Pera en almíbar,44,0.3,11.7,7.4,0.1,0,1,1,76,,
Pera mantequilla,41,0.3,10.8,6.9,0.1,0,1,1,70,,
